x_abs_m,x_local_m,x_H2_molfrac,x_N2_molfrac,x_Air_molfrac,x_O2_molfrac,x_inert_molfrac
1765.0,1765.0,1.0,6.530557865626831e-137,6.229871084072787e-186,1.3082729276552851e-186,6.530557865626831e-137
1775.0,1775.0,1.0,1.9139482162992902e-136,2.2008063506591544e-185,4.6216933363842244e-186,1.9139482162992902e-136
1785.0,1785.0,1.0,5.597661584053133e-136,7.759193947636921e-185,1.6294307290037532e-185,5.597661584053133e-136
1795.0,1795.0,1.0,1.6337284899277092e-135,2.7301305027376915e-184,5.733274055749152e-185,1.6337284899277092e-135
1805.0,1805.0,1.0,4.758281663838628e-135,9.586989377189982e-184,2.013267769209896e-184,4.758281663838628e-135
1815.0,1815.0,1.0,1.3829856059620597e-134,3.3597977983735237e-183,7.0555753765844e-184,1.3829856059620597e-134
1825.0,1825.0,1.0,4.011276987579172e-134,1.1751034713151009e-182,2.4677172897617117e-183,4.011276987579172e-134
1835.0,1835.0,1.0,1.1610350981913532e-133,4.1017687056092924e-182,8.613714281779514e-183,1.1610350981913532e-133
1845.0,1845.0,1.0,3.3535591804984918e-133,1.4288884730834128e-181,3.0006657934751667e-182,3.3535591804984918e-133
1855.0,1855.0,1.0,9.666399795055408e-133,4.967725874973894e-181,1.0432224337445177e-181,9.666399795055408e-133
1865.0,1865.0,1.0,2.780493637323891e-132,1.7236498875736064e-180,3.6196647639045735e-181,2.780493637323891e-132
1875.0,1875.0,1.0,7.981373810581471e-132,5.968602379968543e-180,1.253406499793394e-180,7.981373810581471e-132
1885.0,1885.0,1.0,2.286294700355484e-131,2.0626636631658642e-179,4.3315936926483145e-180,2.286294700355484e-131
1895.0,1895.0,1.0,6.535605002551931e-131,7.114041328257546e-179,1.4939486789340846e-179,6.535605002551931e-131
1905.0,1905.0,1.0,1.8643979969347526e-130,2.4487055392263437e-178,5.142281632375321e-179,1.8643979969347526e-130
1915.0,1915.0,1.0,5.307511173286208e-130,8.411800722966718e-178,1.7664781518230108e-178,5.307511173286208e-130
1925.0,1925.0,1.0,1.5077970092698872e-129,2.8838564466363215e-177,6.056098537936275e-178,1.5077970092698872e-129
1935.0,1935.0,1.0,4.274592509418096e-129,9.867123632183088e-177,2.0720959627584483e-177,4.274592509418096e-129
1945.0,1945.0,1.0,1.2093350934630043e-128,3.369300832675293e-176,7.075531748618116e-177,1.2093350934630043e-128
1955.0,1955.0,1.0,3.4142781016493627e-128,1.1482099749071267e-175,2.411240947304966e-176,3.4142781016493627e-128
1965.0,1965.0,1.0,9.619480944918173e-128,3.9051270438383056e-175,8.200766792060441e-176,9.619480944918173e-128
1975.0,1975.0,1.0,2.7046128096064237e-127,1.3255049796589405e-174,2.7835604572837746e-175,2.7046128096064237e-127
1985.0,1985.0,1.0,7.588561950484867e-127,4.490140432173453e-174,9.429294907564252e-175,7.588561950484867e-127
1995.0,1995.0,1.0,2.124785006261483e-126,1.5179968412580995e-173,3.1877933666420086e-174,2.124785006261483e-126
2005.0,2005.0,1.0,5.937065380242756e-126,5.121700921194075e-173,1.0755571934507557e-173,5.937065380242756e-126
2015.0,2015.0,1.0,1.6555038751909404e-125,1.724606361088919e-172,3.6216733582867294e-173,1.6555038751909404e-125
2025.0,2025.0,1.0,4.6067039704369375e-125,5.795597214776548e-172,1.2170754151030752e-172,4.6067039704369375e-125
2035.0,2035.0,1.0,1.2792409181284907e-124,1.9437431175670922e-171,4.0818605468908933e-172,1.2792409181284907e-124
2045.0,2045.0,1.0,3.5450022344486673e-124,6.505969521247856e-171,1.3662535994620496e-171,3.5450022344486673e-124
2055.0,2055.0,1.0,9.803542061968089e-124,2.1732900042468358e-170,4.563909008918355e-171,9.803542061968089e-124
2065.0,2065.0,1.0,2.7055281079480245e-123,7.245291502653758e-170,1.521511215557289e-170,2.7055281079480245e-123
2075.0,2075.0,1.0,7.45115866915948e-123,2.4106079645065077e-169,5.062276725463666e-170,7.45115866915948e-123
2085.0,2085.0,1.0,2.0478516726646254e-122,8.004420111716865e-169,1.6809282234605416e-169,2.0478516726646254e-122
2095.0,2095.0,1.0,5.616636303447639e-122,2.6525632359995053e-168,5.57038279559896e-169,5.616636303447639e-122
2105.0,2105.0,1.0,1.5372957384672816e-121,8.772719081702782e-168,1.8422710071575842e-168,1.5372957384672816e-121
2115.0,2115.0,1.0,4.19896305287291e-121,2.8955783791675728e-167,6.080714596251903e-168,4.19896305287291e-121
2125.0,2125.0,1.0,1.144538448200147e-120,9.538258198614744e-167,2.003034221709096e-167,1.144538448200147e-120
2135.0,2135.0,1.0,3.113311786918816e-120,3.135707118304797e-166,6.584984948440074e-167,3.113311786918816e-120
2145.0,2145.0,1.0,8.45121079467123e-120,1.0288086297293118e-165,2.1604981224315547e-166,8.45121079467123e-120
2155.0,2155.0,1.0,2.2893886926885056e-119,3.3687316409514743e-165,7.074336445998096e-166,2.2893886926885056e-119
2165.0,2165.0,1.0,6.18905874774594e-119,1.1008571436445886e-164,2.311800001653636e-165,6.18905874774594e-119
2175.0,2175.0,1.0,1.6696842097798632e-118,3.590279570736995e-164,7.539587098547689e-165,1.6696842097798632e-118
2185.0,2185.0,1.0,4.49519906549643e-118,1.1685797226740134e-163,2.4540174176154282e-164,4.49519906549643e-118
2195.0,2195.0,1.0,1.2077264044899257e-117,3.7959564519325593e-163,7.971508549058374e-164,1.2077264044899257e-117
2205.0,2205.0,1.0,3.23812364099612e-117,1.2306000143662715e-162,2.58426003016917e-163,3.23812364099612e-117
2215.0,2215.0,1.0,8.664105181602338e-117,3.9814883674725524e-162,8.361125571692359e-163,8.664105181602338e-117
2225.0,2225.0,1.0,2.313447327458392e-116,1.285602918668623e-161,2.6997661292041083e-162,2.313447327458392e-116
2235.0,2235.0,1.0,6.16454909580892e-116,4.1428683582165474e-161,8.700023552254749e-162,6.16454909580892e-116
2245.0,2245.0,1.0,1.6392643852393172e-115,1.3323806753111202e-160,2.7979994181533524e-161,1.6392643852393172e-115
2255.0,2255.0,1.0,4.350136322549798e-115,4.276499707994154e-160,8.980649386787723e-161,4.350136322549798e-115
2265.0,2265.0,1.0,1.1520281557954946e-114,1.3698768325078202e-159,2.876741348266422e-160,1.1520281557954946e-114
2275.0,2275.0,1.0,3.044597387533169e-114,4.37932897196832e-159,9.196590841133472e-160,3.044597387533169e-114
2285.0,2285.0,1.0,8.029775155462787e-114,1.3972258683666463e-158,2.9341743235699574e-159,8.029775155462787e-114
2295.0,2295.0,1.0,2.1134103153827337e-113,4.4489618905403156e-158,9.342819970134662e-159,2.1134103153827337e-113
2305.0,2305.0,1.0,5.551001843630611e-113,1.4137863923283814e-157,2.9689514238896007e-158,5.551001843630611e-113
